,DAX,SP500,OIL,GOLD,USD_EUR,VOL_DAX,VOL_SP500,REALIZED_VOL_DAX,TASSO_3M_DE,YIELD_10Y_DE,CPI_DE,CORE_CPI_DE,INDPROD_DE,UNEMP_DE,TERM_SPREAD_DE
2024-03-25,18261.310546875,5218.18994140625,86.75,2174.800048828125,0.925279974937439,53804600.0,3331360000.0,0.06330600661881083,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-26,18384.349609375,5203.580078125,86.25,2175.60009765625,0.9226599931716919,58786600.0,3871790000.0,0.0646755886342168,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-27,18477.08984375,5248.490234375,86.08999633789062,2190.60009765625,0.9231600165367126,66344700.0,3850500000.0,0.06269716200528824,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-28,18492.490234375,5254.35009765625,87.4800033569336,2217.39990234375,0.924780011177063,75716300.0,3998270000.0,0.06294218990454373,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-29,18492.490234375,5254.35009765625,87.4800033569336,2217.39990234375,0.9264000058174133,75716300.0,3998270000.0,0.06294218990454373,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-04-01,18492.490234375,5243.77001953125,87.41999816894531,2236.5,0.9265499711036682,75716300.0,3325930000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-02,18283.130859375,5205.81005859375,88.91999816894531,2261.0,0.9313399791717529,82077300.0,3886590000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-03,18367.720703125,5211.490234375,89.3499984741211,2294.39990234375,0.928629994392395,76334900.0,3703250000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-04,18403.130859375,5147.2099609375,90.6500015258789,2288.800048828125,0.9226499795913696,62521400.0,4075680000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-05,18175.0390625,5204.33984375,91.16999816894531,2325.699951171875,0.922760009765625,77046500.0,3386780000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-08,18318.970703125,5202.39013671875,90.37999725341797,2331.699951171875,0.9233199954032898,61073600.0,3278180000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-09,18076.689453125,5209.91015625,89.41999816894531,2343.5,0.9204999804496765,65276400.0,3400680000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-10,18097.30078125,5160.64013671875,90.4800033569336,2329.60009765625,0.9208700060844421,83348200.0,3845930000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-11,17954.48046875,5199.06005859375,89.73999786376953,2354.800048828125,0.9309499859809875,84365100.0,3509380000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-12,17930.3203125,5123.41015625,90.44999694824219,2356.199951171875,0.9322400093078613,78993900.0,3963220000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-15,18026.580078125,5061.81982421875,90.0999984741211,2365.800048828125,0.9390000104904175,65138500.0,3950210000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-16,17766.23046875,5051.41015625,90.0199966430664,2390.800048828125,0.9411100149154663,73217300.0,4006200000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-17,17770.01953125,5022.2099609375,87.29000091552734,2371.699951171875,0.9414899945259094,55970700.0,3596130000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-18,17837.400390625,5011.1201171875,87.11000061035156,2382.300048828125,0.9372599720954895,60700500.0,3619760000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-19,17737.359375,4967.22998046875,87.29000091552734,2398.39990234375,0.9394800066947937,79447700.0,3878750000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-22,17860.80078125,5010.60009765625,87.0,2332.199951171875,0.9382399916648865,62454400.0,3820250000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-23,18137.650390625,5070.5498046875,88.41999816894531,2327.699951171875,0.9386100172996521,68529200.0,3751400000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-24,18088.69921875,5071.6298828125,88.0199966430664,2324.5,0.9341999888420105,75104600.0,3656740000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-25,17917.279296875,5048.419921875,89.01000213623047,2329.800048828125,0.9345899820327759,101517300.0,3958050000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-26,18161.009765625,5099.9599609375,89.5,2334.800048828125,0.9319999814033508,76008600.0,3604140000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-29,18118.3203125,5116.169921875,88.4000015258789,2345.39990234375,0.9339799880981445,77251000.0,3447450000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-04-30,17932.169921875,5035.68994140625,87.86000061035156,2291.39990234375,0.933210015296936,88206200.0,4082470000.0,0.06294218990454373,3.8853333,2.4457142857,125.8112,120.8501,91.43041,3.4,-1.4396190143000003
2024-05-01,17932.169921875,5018.39013671875,83.44000244140625,2299.89990234375,0.9375100135803223,88206200.0,4544170000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
2024-05-02,17896.5,5064.2001953125,83.66999816894531,2299.199951171875,0.932699978351593,71332200.0,4381660000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
2024-05-03,18001.599609375,5127.7900390625,82.95999908447266,2299.0,0.9316999912261963,71259900.0,3924990000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
2024-05-06,18175.2109375,5180.740234375,83.33000183105469,2321.60009765625,0.9295300245285034,46036600.0,3683250000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
2024-05-07,18430.05078125,5187.7001953125,83.16000366210938,2315.199951171875,0.9287199974060059,85365200.0,3987890000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
2024-05-08,18498.380859375,5187.669921875,83.58000183105469,2313.60009765625,0.9301900267601013,74222500.0,3842100000.0,0.06294218990454373,3.8126818,2.5195454545,125.8112,121.1453,91.43041,3.4,-1.2931363455000002
